Symbol	Short	Long
786	786 Invest Ltd	786 Investments Limited
AABS	AL-Abbas Sugar	Al-Abbas Sugar Mills Limited
ABL	Allied Bank Ltd	Allied Bank Limited
ABL-JUL	ABL-JUL	Allied Bank Limited
ABL-JUNB	ABL-JUNB	ABL-JUNB
ABL-MAYB	ABL-MAYB	ABL-MAYB
ABOT	Abbott Lab.	Abbott Laboratories (Pakistan) Limited
ACPL	Attock CementXD	Attock Cement Pakistan Limited
ADOS	Ados Pakistan	Ados Pakistan Limited
AGHA	Agha Steel Ind.	Agha Steel Ind.Ltd
AGHA-JUL	AGHA-JUL	AGHA-JUL
AGHA-JUN	AGHA-JUN	AGHA-JUN
AGHA-MAY	AGHA-MAY	AGHA-MAY
AGIC	Ask.Gen.Insur.XD	Askari General Insurance Company Limited
AGIL	Agriautos Ind.	Agriauto Industries Limited
AGL	Agritech Limited	Agritech Limited
AGL-JUL	AGL-JUL	AGL-JUL
AGL-JUN	AGL-JUN	AGL-JUN
AGL-MAY	AGL-MAY	AGL-MAY
AGP	AGP Limited	AGP Limited
AGP-JUL	AGP-JUL	AGP-JUL
AGP-JUNB	AGP-JUNB	AGP-JUNB
AGP-MAYB	AGP-MAYB	AGP-MAYB
AGSML	Abdullah Shah	Abdullah Shah Ghazi Sugar Mills Limited
AGTL	AL-Ghazi TractorsXD	Al-Ghazi Tractors Limited
AHL	Arif Habib Ltd.	Arif Habib Limited
AICL	Adamjee Ins.	Adamjee Insurance Company Limited
AIRLINK	Air Link Commun	Air Link Communication Limited
AIRLINK-JUL	AIRLINK-JUL	AIRLINK-JUL
AIRLINK-JUN	AIRLINK-JUN	AIRLINK-JUN
AIRLINK-MAY	AIRLINK-MAY	AIRLINK-MAY
AKBL	Askari Bank	Askari Bank Limited
AKBLTFC6	Askari Bank(TFC	Askari Bank(TFC6)
AKDHL	AKD Hospitality	AKD Hospitality Limited
ALAC	Askari Life Ass	Askari Life Assurance Company Limited
ALIFE	Adamjee Life As	Adamjee Life Assurance Company Limited
ALNRS	AL-Noor Sugar	Al-Noor Sugar Mills Limited
ALTN	Altern Energy	Altern Energy Limited
AMBL	Apna Microfin.	Apna Microfinance Bank Limited
ANL	Azgard Nine	Azgard Nine Limited
ANL-JUL	ANL-JUL	Azgard Nine Ltd.
ANL-JUN	ANL-JUN	Azgard Nine Ltd.
ANL-MAY	ANL-MAY	Azgard Nine Ltd.
APL	Attock Petroleum	Attock Petroleum Limited
ARM	Allied Rent.	Allied Rental Modaraba
ARPL	Archroma Pak	Archroma Pakistan Limited
ASC	Al-Shaheer Corp	Al Shaheer Corporation Limited
ASC-JUL	ASC-JUL	ASC-JUL
ASC-JUN	ASC-JUN	ASC-JUN
ASC-MAY	ASC-MAY	ASC-MAY
ASL	Aisha Steel Mill	Aisha Steel Mills Limited
ASL-JUL	ASL-JUL	Aisha Steel Mills Limited
ASL-JUN	ASL-JUN	Aisha Steel Mills Limited
ASL-MAY	ASL-MAY	Aisha Steel Mills Limited
ASTL	Amreli Steels	Amreli Steels Limited
ASTL-JUL	ASTL-JUL	Amreli Steels Limited
ASTL-JUN	ASTL-JUN	Amreli Steels Limited
ASTL-MAY	ASTL-MAY	Amreli Steels Limited
ATBA	Atlas Battery	Atlas Battery Limited
ATLH	Atlas Honda Ltd	Atlas Honda Limited
ATRL	Attock Refinery	Attock Refinery Limited
ATRL-JUL	ATRL-JUL	Attock Refinery Ltd.
ATRL-JUN	ATRL-JUN	Attock Refinery Ltd.
ATRL-MAY	ATRL-MAY	Attock Refinery Ltd.
AVN	Avanceon Ltd	Avanceon Limited
AVN-JUL	AVN-JUL	Avanceon Limited
AVN-JUNB	AVN-JUNB	AVN-JUNB
AVN-MAYB	AVN-MAYB	Avanceon Limited
BAFL	Bank Al-Falah	Bank Alfalah Limited
BAFL-JUL	BAFL-JUL	Bank Al-Falah Ltd.
BAFL-JUN	BAFL-JUN	Bank Al-Falah Ltd.
BAFL-MAY	BAFL-MAY	Bank Alfalah Ltd
BAFLTFC6	Bank Al-Falah(T	Bank Al-Falah(TFC6
BAHL	Bank AL-Habib	Bank AL Habib Limited
BAHL-JUL	BAHL-JUL	Bank AL-Habib Limited
BAHL-JUN	BAHL-JUN	Bank AL-Habib Limited
BAHL-MAY	BAHL-MAY	Bank AL-Habib Limited
BAPL	Bawany Air Products	Bawany Air Products Limited
BCL	Bolan Casting	Bolan Castings Limited
BECO	Beco Steel Ltd	Beco Steel Limited
BERG	Berger Paints	Berger Paints Pakistan Limited
BFMOD	B.F.Modaraba	B.F. Modaraba
BGL	Bal.Glass	Balochistan Glass Limited
BIFO	Biafo Ind.	Biafo Industries Limited
BILF	Bilal Fibres	Bilal Fibres Limited
BIPL	Bankislami Pak.	BankIslami Pakistan Limited
BIPL-JUL	BIPL-JUL	BIPL-JUL
BIPL-JUN	BIPL-JUN	BIPL-JUN
BIPL-MAY	BIPL-MAY	BIPL-MAY
BNL	Bunnys Limited	Bunnys Limited
BOK	Bank Of KhyberXB	The Bank of Khyber
BOP	B.O.Punjab	The Bank of Punjab
BOP-JUL	BOP-JUL	Bank Of Punjab Limited.
BOP-JUN	BOP-JUN	Bank Of Punjab Limited.
BOP-MAY	BOP-MAY	The Bank Of Punjab
BRR	B.R.R.Guardian	B.R.R. Guardian Modaraba
BUXL	Buxly Paints	Buxly Paints Limited
BWCL	Bestway Cement	Bestway Cement Limited
BWHL	Bal.WheelsXD	Baluchistan Wheels Limited
CCM	Crescent Cotton	Crescent Cotton Mills Limited
CEPB	Century Paper	Century Paper & Board Mills Limited
CHCC	Cherat Cement	Cherat Cement Company Limited
CHCC-JUL	CHCC-JUL	Cherat Cement Company Limited
CHCC-JUN	CHCC-JUN	Cherat Cement Company Limited
CHCC-MAY	CHCC-MAY	Cherat Cement Company Limited
CLOV	Clover Pakistan	Clover Pakistan Limited
CLVL	Cordoba Logist	Cordoba Logistics & Ventures Limited
CNERGY	Cnergyico PK	Cnergyico PK  Limited
CNERGY-JUL	CNERGY-JUL	CNERGY-JUL
CNERGY-JUN	CNERGY-JUN	CNERGY-JUN
CNERGY-MAY	CNERGY-MAY	CNERGY-MAY
COLG	Colgate Palm	Colgate-Palmolive (Pakistan) Limited
CPHL	Citi Pharma Ltd	Citi Pharma Ltd.
CPHL-JUL	CPHL-JUL	CPHL-JUL
CPHL-JUN	CPHL-JUN	CPHL-JUN
CPHL-MAY	CPHL-MAY	CPHL-MAY
CPPL	Cherat Pack	Cherat Packaging Limited
CRTM	Crescent Tex.	The Crescent Textile Mills Limited
CSAP	Crescent Steel	Crescent Steel & Allied Products Limited
CSIL	Cres.Star Ins.	Crescent Star Insurance Limited
CTM	Colony Tex.Mills Ltd	Colony Textile Mills Limited
CWSM	Chakwal Spinning	Chakwal Spinning Mills Limited
CYAN	Cyan Limited	Cyan Limited
DAAG	Data Agro      	Data Agro Limited
DADX	Dadex Eternit	Dadex Eternit Limited
DAWH	Dawood HerculesXD	Dawood Hercules Corporation Limited
DCL	Dewan Cement	Dewan Cement Limited
DCL-JUL	DCL-JUL	Dewan Cement Limited
DCL-JUN	DCL-JUN	Dewan Cement Limited
DCL-MAY	DCL-MAY	Dewan Cement Limited
DCR	Dolmen City	Dolmen City REIT
DCR-JUL	DCR-JUL	Dolmen City REIT
DCR-JUNB	DCR-JUNB	DCR-JUNB
DCR-MAYB	DCR-MAYB	DCR-MAYB
DEL	Dawood Equities	Dawood Equities Limited
DFML	Dewan Motors	Dewan Farooque Motors Limited
DFSM	Dewan Farooque Sp.	Dewan Farooque Spinning Mills Limited
DGKC	D.G.K.Cement	D.G. Khan Cement Company Limited
DGKC-JUL	DGKC-JUL	D. G. Khan Cement Co. Limited
DGKC-JUN	DGKC-JUN	D. G. Khan Cement
DGKC-MAY	DGKC-MAY	D. G. Khan Cement Co.
DLL	Dawood Law	Dawood Lawrencepur Limited
DOL	Descon Oxychem	Descon Oxychem Limited
DSIL	D.S. Ind. Ltd.	D.S. Industries Limited
DSL	Dost Steels Ltd.	Dost Steels Limited
DYNO	Dynea Pakistan	Dynea Pakistan Limited
ECOP	ECOPACK Ltd	Ecopack Limited
EFERT	Engro Fert.	Engro Fertilizers Limited
EFERT-JUL	EFERT-JUL	Engro Fertilizer Limited
EFERT-JUNB	EFERT-JUNB	EFERT-JUNB
EFERT-MAYB	EFERT-MAYB	EFERT-MAYB
EMCO	EMCO Industries	Emco Industries Limited
ENGRO	Engro Corp	Engro Corporation Limited
ENGRO-JUL	ENGRO-JUL	Engro Corporation Limited
ENGRO-JUNB	ENGRO-JUNB	ENGRO-JUNB
ENGRO-MAYB	ENGRO-MAYB	Engro Corporation Limited
EPCL	Engro Polymer	Engro Polymer & Chemicals Limited
EPCL-JUL	EPCL-JUL	Engro Polymer & Chemicals Limited
EPCL-JUNB	EPCL-JUNB	EPCL-JUNB
EPCL-MAYB	EPCL-MAYB	EPCL-MAYB
EPCLPS	Engro Poly(Pref)	Engro Poly(Pref)
EPCLSC	Engro Polymer(S	Engro Polymer(SC)
EPQL	Engro Powergen	Engro Powergen Qadirpur Limited
ESBL	Escorts Bank	Escorts Investment Bank Limited
EXIDE	Exide (PAK)	Exide Pakistan Limited
FABL	Faysal Bank	Faysal Bank Limited
FABL-JUL	FABL-JUL	Faysal Bank Limited
FABL-JUN	FABL-JUN	Faysal Bank Limited
FABL-MAY	FABL-MAY	Faysal Bank Limited
FATIMA	Fatima Fert.	Fatima Fertilizer Company Limited
FATIMA-JUL	FATIMA-JUL	Fatima Fert.Co.
FATIMA-JUNB	FATIMA-JUNB	FATIMA-JUNB
FATIMA-MAYB	FATIMA-MAYB	FATIMA-MAYB
FCCL	Fauji Cement	Fauji Cement Company Limited
FCCL-JUL	FCCL-JUL	Fauji Cement Company Ltd.
FCCL-JUN	FCCL-JUN	Fauji Cement Company Ltd.
FCCL-MAY	FCCL-MAY	Fauji Cement Company Ltd.
